,Date,Open,Close,Volume
,"Apr 11, 2024",69.45,69.26,"7,078,400"
,"Apr 10, 2024",68.26,68.94,"8,136,300"
,"Apr 9, 2024",69,68.55,"4,833,500"
,"Apr 8, 2024",69,68.73,"7,830,400"
,"Apr 5, 2024",68,69.25,"12,354,100"
,"Apr 4, 2024",67.71,67.63,"7,475,700"
,"Apr 3, 2024",67.59,67.71,"8,505,900"
,"Apr 2, 2024",66.73,67.26,"11,722,100"
,"Apr 1, 2024",65.29,66.38,"8,035,300"
,"Mar 28, 2024",64.67,64.99,"7,159,600"
,"Mar 27, 2024",63.09,64.2,"5,725,700"
,"Mar 26, 2024",64.63,63.32,"6,182,700"
,"Mar 25, 2024",64.09,64.55,"6,921,300"
,"Mar 22, 2024",64,63.81,"4,927,200"
,"Mar 21, 2024",63.86,63.93,"5,371,100"
,"Mar 20, 2024",63.95,63.79,"6,313,600"
,"Mar 19, 2024",63.07,64.06,"6,956,000"
,"Mar 18, 2024",62.91,63.2,"6,797,600"
,"Mar 15, 2024",62.36,62.65,"9,779,900"
,"Mar 14, 2024",62.2,62.58,"7,433,700"
,"Mar 13, 2024",61.64,62.06,"8,672,400"
,"Mar 12, 2024",61.43,61.14,"7,124,900"
,"Mar 11, 2024",60.69,61.52,"6,760,600"
,"Mar 8, 2024",60.92,60.8,"5,282,500"
,"Mar 7, 2024",60.71,61.05,"7,403,300"
,"Mar 6, 2024",61.3,61.09,"7,919,100"
,"Mar 5, 2024",60.43,60.58,"6,543,000"
,"Mar 4, 2024",61.55,60.68,"6,359,300"
,"Mar 1, 2024",60.98,61.36,"7,653,400"
,"Feb 29, 2024",60.44,60.61,"7,574,400"
,"Feb 28, 2024",60.5,60.26,"7,838,200"
,"Feb 27, 2024",60.93,60.6,"7,051,800"
,"Feb 26, 2024",59.7,60.47,"8,510,000"
,"Feb 23, 2024",60,60.02,"7,789,900"
,"Feb 22, 2024",60.19,60.53,"9,369,300"
,"Feb 21, 2024",59.57,60.47,"10,314,300"
,"Feb 20, 2024",60.53,59.56,"16,896,800"
,"Feb 16, 2024",60.38,60.52,"13,466,300"
,"Feb 15, 2024",57.45,60.11,"21,966,000"
,"Feb 14, 2024",57.8,57.3,"12,516,600"
,"Feb 13, 2024",57.97,57.61,"10,324,700"
,"Feb 12, 2024",57.53,58.03,"8,878,200"
,"Feb 9, 2024",58.21,57.47,"8,114,600"
,"Feb 8, 2024",57.77,58.05,"7,706,500"
,"Feb 7, 2024",57.61,57.62,"8,045,000"
,"Feb 6, 2024",57.39,57.57,"9,081,100"
,"Feb 5, 2024",56.82,56.98,"10,196,900"
,"Feb 2, 2024",57.26,57.04,"8,399,600"
,"Feb 1, 2024",57.91,57.32,"11,277,700"
