Open,Close,High,Low,Volume,Date
71.78,72.28,72.63,70.72,,11/13/24
71.97,71.89,72.82,71.55,,11/12/24
73.85,71.83,74.13,71.57,,11/11/24
75.55,73.87,75.61,73.44,,11/08/24
74.99,75.63,76.08,74.02,,11/07/24
75.3,74.92,75.98,73.34,,11/06/24
75,75.53,76.24,74.9,,11/05/24
74,75.08,75.4,73.88,,11/04/24
0,73.1,74.94,72.89,,11/01/24
72.85,72.81,73.38,72.2,,10/31/24
71.39,72.55,73.12,71.08,,10/30/24
71.39,71.12,71.4,71.35,,10/29/24
72,71.42,72,71.97,,10/28/24
74.66,76.05,76.14,74.17,,10/25/24
75.35,74.38,76.54,74,,10/24/24
75.73,74.96,76.05,74.42,,10/23/24
74.23,76.04,76.32,73.57,,10/22/24
73.11,74.29,74.57,72.8,,10/21/24
74.59,73.06,74.95,72.5,,10/18/24
74.47,74.45,74.92,73.26,,10/17/24
74.71,74.22,74.93,73.42,,10/16/24
75.22,74.25,75.57,73.34,,10/15/24
78.55,77.46,78.55,74.86,,10/14/24
79.14,79.04,79.5,78.04,,10/11/24
76.76,79.4,79.72,76.72,,10/10/24
77.49,76.58,78.02,75.15,,10/09/24
80.96,77.18,81.14,76.36,,10/08/24
78.07,80.93,81.16,77.23,,10/07/24
77.79,78.05,79.3,77.39,,10/04/24
74.59,77.62,77.99,74.31,,10/03/24
74.47,73.9,76.14,73.59,,10/02/24
71.85,73.56,75.45,69.91,,10/01/24
72.5,71.7,73.17,71.26,,09/30/24
71.42,71.98,72.45,70.91,,09/27/24
73.4,71.6,73.8,70.72,,09/26/24
75.18,73.46,75.35,73.06,,09/25/24
74.13,75.17,75.87,73.95,,09/24/24
74.71,73.9,75.17,73.1,,09/23/24
74.77,74.49,75,74,,09/20/24
73.13,74.88,75.18,72.91,,09/19/24
73.69,73.65,74.1,72.31,,09/18/24
72.91,73.7,74.28,72.17,,09/17/24
72.09,72.75,73.39,71.52,,09/16/24
72.3,71.61,73.24,71.46,,09/13/24
70.6,71.97,72.87,70.59,,09/12/24
69.68,70.61,71.09,69,,09/11/24
71.92,69.19,72.28,68.68,,09/10/24
71.66,71.84,72.21,70.65,,09/09/24
72.81,71.06,73.53,70.61,,09/06/24
72.76,72.69,74.2,72.37,,09/05/24
73.67,72.7,74.8,72.35,,09/04/24
77.16,73.75,77.55,73.51,,09/03/24
76.95,77.52,77.63,76.21,,09/02/24
79.92,76.93,80.6,78.57,,08/30/24
78.52,79.94,80.78,78.12,,08/29/24
79.87,78.65,80.01,77.95,,08/28/24
81.26,79.55,81.59,79.47,,08/27/24
79.35,81.43,81.58,79.24,,08/26/24
77.25,79.02,79.27,77.03,,08/23/24
75.96,77.22,77.7,75.77,,08/22/24
77.13,76.05,78.21,75.65,,08/21/24
77.66,77.2,78.35,76.55,,08/20/24
79.6,77.66,79.81,77.48,,08/19/24
80.86,79.68,81.02,78.62,,08/16/24
79.96,81.04,81.43,79.61,,08/15/24
81,79.76,81.44,79.6,,08/14/24
81.88,80.69,82.3,80.55,,08/13/24
79.56,82.3,82.4,79.46,,08/12/24
79.03,79.66,79.83,78.77,,08/09/24
78.55,79.16,79.37,77.63,,08/08/24
76.16,78.33,78.87,75.95,,08/07/24
77.45,76.48,77.85,75.58,,08/06/24
77.61,76.3,77.74,75.05,,08/05/24
79.98,76.81,80.46,76.42,,08/02/24
81.44,79.52,81.8,79.43,,08/01/24
79.02,80.72,80.95,79.02,,07/31/24
79.64,78.63,79.99,78.43,,07/30/24
81.3,79.78,81.74,79.36,,07/29/24
82.4,81.13,82.71,80.33,,07/26/24
81.58,82.37,82.53,80.09,,07/25/24
81.46,81.71,82.23,80.93,,07/24/24
82.25,81.01,82.79,80.51,,07/23/24
82.8,82.4,83.22,81.6,,07/22/24
84.72,82.63,85.35,82.56,,07/19/24
85.23,85.11,85.81,84.22,,07/18/24
83.66,85.08,85.2,83.43,,07/17/24
84.78,83.73,84.86,83.3,,07/16/24
85.1,84.85,85.37,84.42,,07/15/24
85.69,85.03,86.35,84.95,,07/12/24
85.45,85.4,85.89,84.64,,07/11/24
84.92,85.08,85.66,84,,07/10/24
85.67,84.66,85.85,84.53,,07/09/24
86.74,85.75,86.92,85.56,,07/08/24
87.45,86.54,87.95,86.49,,07/05/24
87.09,87.43,87.59,86.51,,07/04/24
86.44,87.34,87.39,85.89,,07/03/24
86.71,86.24,87.46,86.16,,07/02/24
84.9,86.6,86.88,84.85,,07/01/24
86.56,85,87.22,86.24,,06/28/24
85.01,86.39,86.5,84.88,,06/27/24
